字段1,字段2,字段3
600586,更多烧碱 ;低碳 ;光热 ;涉矿 ;特种玻璃 ;分布式发电 ;绿色建筑 ;建筑节能 ;光伏玻璃 ;环渤海 ;玻璃纤维 ;玻璃,金晶科技
"600586,600586",,"金晶科技,金晶科技"
300620,更多量子通信 ;3D打印 ;激光器 ;贸易战影响股 ;光纤 ;横琴新区,光库科技
"300620,300620",,"光库科技,光库科技"
300320,更多汽车制造概念 ;高端装备 ;特斯拉 ;轨道交通 ;新基建,海达股份
"300320,300320",,"海达股份,海达股份"
300215,更多分布式发电 ;智能电网 ;军民融合 ;特高压 ;配电网 ;军工 ;新基建,电科院
"300215,300215,300215",,"电科院,电科院,电科院"
002392,更多涉矿 ;金属镁 ;多晶硅 ;新材料概念 ;雄安新区 ;年报预增,北京利尔
002392,,北京利尔
002845,更多全面屏 ;富士康概念 ;OLED ;OLED面板 ;OLED设备制造 ;国资驰援 ;华为概念 ;柔性屏,同兴达
"002845,002845,002845",,"同兴达,同兴达,同兴达"
601860,新股与次新股,紫金银行
"601860,601860,601860",,"紫金银行,紫金银行,紫金银行"
300411,轨道交通 ;高端装备 ;核电 ;军工,金盾股份
"300411,300411,300411,300411,300411,300411,300411,300411,300411,300411,300411,300411",,"金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份,金盾股份"
300486,更多双十一 ;工业机器人 ;智能物流 ;机器人概念 ;智慧停车 ;年报预增,东杰智能
"300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486,300486",,"东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能,东杰智能"
002550,民营医院 ;深股通 ;生物医药 ;抗癌,千红制药
600399,更多航天军工 ;振兴东北 ;南海 ;轧板 ;大飞机 ;ST板块 ;军工 ;特钢概念 ;高送转,ST抚钢
"600399,600399,600399,600399,600399,600399,600399,600399,600399,600399,600399,600399",,"ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢,ST抚钢"
300305,更多气凝胶 ;新能源 ;碳海绵 ;高性能膜 ;OLED材料 ;OLED,裕兴股份
300305,,裕兴股份
300672,更多芯片设计 ;存储芯片 ;物联网感知层 ;国家大基金持股 ;卫星导航 ;芯片概念 ;物联网 ;集成电路概念 ;超清视频,国科微
"300672,300672,300672,300672,300672,300672,300672,300672,300672",,"国科微,国科微,国科微,国科微,国科微,国科微,国科微,国科微,国科微"
600019,更多核电 ;供气 ;西气东输 ;央企控股 ;铌 ;稀缺煤 ;螺纹钢 ;互联网钢铁 ;融资融券 ;沪股通 ;转融券标的 ;MSCI概念 ;互联网+ ;石墨电极 ;央企国资改革,宝钢股份
"600019,600019",,"宝钢股份,宝钢股份"
000012,更多诺基亚 ;低碳 ;光伏玻璃 ;玻璃纤维 ;光热 ;太阳能 ;B转H ;新能源 ;分布式发电 ;绿色建筑 ;特种玻璃 ;融资融券 ;深股通 ;转融券标的 ;OLED ;多晶硅 ;建筑节能 ;触摸屏 ;特斯拉 ;光伏概念 ;玻璃 ;雄安新区 ;宝能系,南玻A
000012,,南玻A
300500,更多绿色建筑 ;建筑节能 ;装配式建筑 ;雄安新区 ;年报预增,启迪设计
"300500,300500,300500,300500,300500",,"启迪设计,启迪设计,启迪设计,启迪设计,启迪设计"
601155,更多MSCI概念 ;参股保险 ;融资融券 ;沪股通 ;转融券标的 ;白马股 ;租售同权 ;证金持股 ;机构重仓,新城控股
"601155,601155,601155,601155,601155",,"新城控股,新城控股,新城控股,新城控股,新城控股"
300732,白马股 ;一带一路,设研院
"300732,300732",,"设研院,设研院"
600470,更多黑磷 ;融资融券 ;转融券标的 ;乡村振兴 ;尿素 ;磷酸一铵 ;地方国资改革 ;化肥 ;磷化工 ;煤化工,六国化工
"600470,600470,600470,600470",,"六国化工,六国化工,六国化工,六国化工"
600210,更多新兴板概念 ;融资融券 ;沪股通 ;转融券标的 ;创投,紫江企业
"600210,600210",,"紫江企业,紫江企业"
603260,更多新材料概念 ;白马股 ;沪股通 ;多晶硅 ;白炭黑 ;石墨电极 ;有机硅 ;年报预增 ;长三角一体化,合盛硅业
603260,,合盛硅业
603444,更多沪股通 ;网络游戏 ;白马股 ;手机游戏 ;养老金持股,吉比特
603444,,吉比特
300606,新材料概念,金太阳
"300606,300606,300606,300606",,"金太阳,金太阳,金太阳,金太阳"
002821,生物医药 ;抗癌 ;深股通 ;创新药,凯莱英
"002821,002821,002821,002821",,"凯莱英,凯莱英,凯莱英,凯莱英"
603603,更多美丽中国 ;沪股通 ;土壤修复 ;污水处理 ;PPP概念 ;雄安环保 ;雄安新区 ;机构重仓,博天环境
