字段1,字段2,字段3
002033,收入改革 ;婚庆,丽江旅游
002469,更多油品升级 ;煤化工 ;硫磺 ;节能环保 ;一带一路 ;证金持股 ;氢能源,三维工程
002469,,三维工程
000711,更多污水处理 ;智能建筑 ;余热发电 ;智慧城市 ;工业4.0 ;智能医疗 ;美丽中国 ;节水灌溉 ;物联网应用层 ;土壤修复 ;大数据 ;PPP概念 ;物联网 ;雄安新区 ;雄安环保 ;园林开发 ;边缘计算,京蓝科技
"000711,000711,000711,000711,000711,000711,000711,000711,000711,000711",,"京蓝科技,京蓝科技,京蓝科技,京蓝科技,京蓝科技,京蓝科技,京蓝科技,京蓝科技,京蓝科技,京蓝科技"
600779,更多老字号 ;成渝特区 ;鸡尾酒 ;基因疗法 ;沪股通 ;白马股 ;白酒概念 ;年报预增 ;MSCI预期,水井坊
"600779,600779",,"水井坊,水井坊"
603335,汽车关税下调,迪生力
603335,,迪生力
603757,沪股通 ;白马股,大元泵业
603757,,大元泵业
603567,更多中医药 ;沪股通 ;创新药 ;抗肿瘤 ;抗癌,珍宝岛
"603567,603567,603567,603567,603567,603567",,"珍宝岛,珍宝岛,珍宝岛,珍宝岛,珍宝岛,珍宝岛"
603355,家用电器 ;沪股通 ;工业4.0 ;空气净化,莱克电气
300384,更多高端装备 ;大数据 ;互联网+ ;送转填权 ;互联网金融 ;锦纶 ;创投,三联虹普
"300384,300384,300384,300384,300384,300384,300384,300384,300384,300384",,"三联虹普,三联虹普,三联虹普,三联虹普,三联虹普,三联虹普,三联虹普,三联虹普,三联虹普,三联虹普"
000719,更多有声读物 ;融资融券 ;深股通 ;转融券标的 ;在线教育 ;文化传媒 ;地方国资改革 ;证金持股 ;河南国资改革 ;机构重仓,中原传媒
002788,中医药 ;医疗器械概念 ;高送转,鹭燕医药
"002788,002788,002788,002788,002788,002788,002788,002788",,"鹭燕医药,鹭燕医药,鹭燕医药,鹭燕医药,鹭燕医药,鹭燕医药,鹭燕医药,鹭燕医药"
600306,更多微信概念 ;车联网 ;新零售 ;振兴东北 ;腾讯概念 ;商超百货 ;壳资源,商业城
600306,,商业城
603025,国产软件 ;沪股通 ;地方国资改革 ;北京国资改革,大豪科技
603025,,大豪科技
603578,--,三星新材
"603578,603578,603578,603578",,"三星新材,三星新材,三星新材,三星新材"
300120,更多苹果概念 ;仪电仪表 ;滨海新区 ;智能电网 ;电子车牌 ;特高压 ;触摸屏 ;年报预增 ;OLED ;证金持股,经纬辉开
"300120,300120",,"经纬辉开,经纬辉开"
002715,尾气治理 ;壳资源 ;创投,登云股份
002715,,登云股份
002013,更多高端装备 ;无人机 ;航天军工 ;阅兵 ;深股通 ;国改双百行动 ;国产航母 ;军工 ;中航系 ;央企国资改革 ;MSCI预期 ;机构重仓,中航机电
"002013,002013,002013",,"中航机电,中航机电,中航机电"
601567,更多融资租赁 ;村镇银行 ;智能电网 ;沪股通 ;物联网应用层 ;物联网 ;健康中国 ;电力物联网,三星医疗
"601567,601567",,"三星医疗,三星医疗"
603869,更多游轮 ;智能交通 ;大数据 ;智慧城市 ;海南自贸区 ;航运概念,新智认知
"603869,603869,603869,603869,603869",,"新智认知,新智认知,新智认知,新智认知,新智认知"
000759,更多双十一 ;电子商务 ;武汉自贸区 ;中部崛起 ;智能物流 ;收入改革 ;商超百货 ;便利店 ;新零售 ;湖北国资改革 ;地方国资改革 ;年报预增 ;机构重仓,中百集团
"000759,000759,000759",,"中百集团,中百集团,中百集团"
300724,新股与次新股 ;白马股 ;太阳能 ;光伏概念,捷佳伟创
300724,,捷佳伟创
601966,汽车制造概念 ;沪股通 ;MSCI概念 ;体育产业,玲珑轮胎
"601966,601966",,"玲珑轮胎,玲珑轮胎"
000975,更多涉矿 ;铅 ;融资融券 ;白银 ;深股通 ;锌 ;转融券标的 ;小金属概念 ;黄金概念 ;年报预增 ;MSCI预期 ;养老金持股,银泰资源
"000975,000975,000975",,"银泰资源,银泰资源,银泰资源"
002817,医疗器械概念,黄山胶囊
300079,更多NFC ;小额贷款 ;智能电视 ;智能终端 ;虚拟现实 ;宽带中国 ;电子信息 ;手势识别 ;三网融合 ;体感交互 ;互联网金融 ;融资融券 ;转融券标的 ;VR直播 ;金融IC ;网络安全 ;世界杯 ;金融科技 ;知识产权保护 ;影视娱乐 ;年报预增 ;广播电视 ;超清视频 ;文化传媒,数码科技
"300079,300079,300079,300079,300079,300079",,"数码科技,数码科技,数码科技,数码科技,数码科技,数码科技"
600422,更多抗癌 ;融资融券 ;沪股通 ;转融券标的 ;独角兽概念 ;中医药 ;疟疾 ;青蒿素 ;保健品 ;医保目录 ;工业大麻 ;证金持股,昆药集团
"600422,600422,600422,600422,600422,600422,600422,600422",,"昆药集团,昆药集团,昆药集团,昆药集团,昆药集团,昆药集团,昆药集团,昆药集团"
002555,更多参股新三板 ;文化传媒 ;参股360 ;深股通 ;影视娱乐 ;音乐产业 ;虚拟现实 ;白马股 ;MSCI概念 ;网络游戏 ;手机游戏 ;动漫 ;腾讯音乐概念 ;融资融券 ;转融券标的,三七互娱
"002555,002555,002555,002555,002555",,"三七互娱,三七互娱,三七互娱,三七互娱,三七互娱"
600889,更多氨纶 ;粘胶短纤 ;地方国资改革 ;参股券商 ;南京国资改革 ;江苏国资改革,南京化纤
600298,更多调味品 ;月饼 ;融资融券 ;沪股通 ;转融券标的 ;保健品 ;湖北国资改革 ;地方国资改革 ;MSCI预期 ;工业大麻 ;机构重仓,安琪酵母
600298,,安琪酵母
002513,更多西尼罗病毒 ;生物农药 ;生态农业 ;生物医药 ;壳资源 ;股权转让 ;分散染料,蓝丰生化
"002513,002513,002513,002513,002513,002513,002513,002513,002513,002513,002513,002513",,"蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化,蓝丰生化"
000553,更多登革热 ;百草枯 ;蜱虫 ;生物农药 ;吡啶 ;寨卡病毒概念 ;深股通 ;白马股 ;草甘膦 ;央企国资改革 ;年报预增,安道麦A
"000553,000553,000553,000553",,"安道麦A,安道麦A,安道麦A,安道麦A"
603701,更多节能环保 ;农机 ;乡村振兴 ;汽车电子 ;参股新三板 ;新能源汽车 ;稀土永磁,德宏股份
603701,,德宏股份
603077,更多农村电商 ;碳纤维 ;黑磷 ;沪股通 ;乡村振兴 ;氯化铵 ;草甘膦 ;MSCI预期,和邦生物
"603077,603077,603077,603077,603077,603077,603077",,"和邦生物,和邦生物,和邦生物,和邦生物,和邦生物,和邦生物,和邦生物"
600405,更多仪电仪表 ;充电桩 ;锂电池 ;合同能源管理 ;新基建 ;宁德时代概念 ;燃料电池,动力源
600405,,动力源
300583,生物医药,赛托生物
